gi_no,title,company_name,company_id,career,education,employment_type,deadline_raw,job_function,job_categories,company_logo_url,company_ceo,company_founded_year,company_flagship_games,company_homepage
284537,[블루아카이브] 영상 디자이너,㈜넥슨게임즈,13488254,경력무관,학력무관,정규직,채용시,애니메이션,애니메이션,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\4\GJ_CoLogo_13488254.png?638749795300000000,박용현,2013년,"히트2, 블루아카이브, 서든어택, V4",
284536,[넥슨코리아] 빈딕투스 디파잉 페이트 3D 캐릭터 모델러 (아르바이트),넥슨,11527672,경력무관,학력무관,아르바이트,채용시,모델링,모델링,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2013\8\GJ_Co_nexonhr.jpg?638537985480000000,강대현·김정욱,1994년,"메이플스토리, 던전앤파이터, 카트라이더, 마비노기",
284535,[마비노기 모바일] 이펙트 아티스트 모집,데브캣,32636212,경력무관,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\4\GJ_CoLogo_32636212.png?639116881870000000,"김동건,정길수",2020년,마비노기모바일,
284530,[메이플스타/MSW] 게임 아티스트,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284531,[메이플스타/MSW] 게임 사업PM,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,1시간 전,사업기획(국내),사업기획(국내);사업기획(해외);전략기획;사업관리,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284532,[메이플스타/MSW] 게임 플레이 프로그래머,스타픽시스튜디오,51773905,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284533,[메이플스타/MSW] 게임 기획자,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284534,[메이플스타/MSW] Full-stack 엔지니어,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,플랫폼 개발,플랫폼 개발;서버;네트워크,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284529,[메이플스타/MSW] 게임 기획 Lead,스타픽시스튜디오,51773905,경력5년↑ ,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284528,[메이플스타/MSW] 커뮤니티 매니저 (콘텐츠·영상),스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,마케팅,마케팅;홍보;해외 마케팅;프로모션;광고기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284527,[스타픽시스튜디오] 경영지원 (총무),스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,총무,총무;구매,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284523,[Guns & Dragons] 게임 이펙터,㈜에이버튼,43885377,경력3년↑ ,학력무관,정규직,채용시,이펙트·FX,이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\7\GJ_CoLogo_43885377.png?639195595910000000,김대훤,2024년,"제우스, 건즈앤드래곤즈, EA",
284522,[넷마블네오] 뱀피르(Vampir) 재화 밸런스기획 담당 모집,넷마블네오,37126660,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\4\GJ_CoLogo_37126660.png?638950298550000000,권영식,2012년,"뱀피르, 나 혼자만 레벨업, 왕좌의게임, 제2의나라, 리니지2레볼루션",
284521,[넷마블네오] 컷신 및 시네마틱 영상 이펙터 모집,넷마블네오,37126660,경력무관,학력무관,정규직,채용시,이펙트·FX,이펙트·FX;영상제작·편집,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\4\GJ_CoLogo_37126660.png?638950298550000000,권영식,2012년,"뱀피르, 나 혼자만 레벨업, 왕좌의게임, 제2의나라, 리니지2레볼루션",
284505,[시프트업] 스텔라 블레이드 차기작 / 캐릭터 컨셉 아티스트,㈜시프트업,15704099,경력무관,학력무관,정규직,채용시,원화,원화,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\10\GJ_CoLogo_15704099.png?639087678030000000,김형태,2013년,"승리의 여신: 니케, 스텔라 블레이드, 데스티니차일드",
284496,[빅게임본부] 게임검증실 리서치 오퍼레이터 (계약직),넥슨,11527672,경력무관,학력무관,계약직,19시간 전,정보·빅데이터 분석,정보·빅데이터 분석;리서치,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2013\8\GJ_Co_nexonhr.jpg?638537985480000000,강대현·김정욱,1994년,"메이플스토리, 던전앤파이터, 카트라이더, 마비노기",
284543,[Project D] 전투 기획,오프비트,46220019,경력3년↑ ,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2025\2\GJ_CoLogo_46220019.png?638923216620000000,문성빈,2024년,전지적 독자 시점 (Project O),
284541,[Project D] 콘텐츠 기획,오프비트,46220019,경력3년↑ ,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2025\2\GJ_CoLogo_46220019.png?638923216620000000,문성빈,2024년,전지적 독자 시점 (Project O),
284542,[블루피쉬스튜디오] 3D배경 경력사원 모집,플레이위드게임즈,31995017,경력10년↑ ,학력무관,정규직,~10/19,게임개발(모바일),게임개발(모바일);모델링;엔진,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\11\GJ_CoLogo_31995017.png?639124453420000000,김학준,2000년,"로한, 씰온라인, 로한M 등",
284508,시스템 엔지니어 (SE) 채용,㈜미투온,11533347,경력무관,학력무관,정규직,~09/30,네트워크,네트워크;보안,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2015\4\GJ_Co_me2on.jpg?638840297710000000,손창욱,2010년,"풀팟홀덤포커, 풀하우스카지노, 솔리테르 트라이픽스 져니",
284519,모바일 2D 인디 게임 그래픽 디자이너 모집,주식회사 게임코스터,21464377,경력무관,학력무관,정규직,채용시,원화,원화,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\7\GJ_CoLogo_21464377.png?639238876690000000,김국환,2017년,"던전메이커, 던전지키기, 던전스쿼드, 던전위딘",
284526,[블루피쉬스튜디오] TA 담당 경력사원 모집,㈜플레이위드코리아,11525795,경력10년↑ ,학력무관,정규직,~10/19,게임개발(모바일),게임개발(모바일);인터페이스 디자인;모델링;애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\10\GJ_Co_sunny.jpg?638961649670000000,김학준,1984년,"로한, 씰M, 씰온라인, ROHAN2, SEAL WHAT THE FUN",
284525,게임 마케팅 경력사원 모집,㈜플레이위드코리아,11525795,경력5년↑ ,,정규직,~10/19,마케팅,마케팅;해외 마케팅;프로모션;광고기획;제휴,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\10\GJ_Co_sunny.jpg?638961649670000000,김학준,1984년,"로한, 씰M, 씰온라인, ROHAN2, SEAL WHAT THE FUN",
284524,2D 모바일 게임 클라이언트 개발자 모집(3년차 이상),카피바라,47014609,경력3년↑ ,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일),https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\9\GJ_CoLogo_47014609.png?639238975420000000,-,2024년,"아토즈포커(개발중, 2026 하반기 출시 예정)",
284504,[p.일렌시아] 배경 도트 디자이너 (신입/경력),게임듀오,29576203,신입,학력무관,정규직,18시간 전,원화,원화,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\6\GJ_CoLogo_29576203.png?639017399630000000,"송승준, 최재원",2019년,"어나더던전, 캣히어로",
284509,[NC-퍼스트스파크게임즈][프로젝트 SC] TA 모집,㈜퍼스트스파크게임즈,47616029,경력5년↑ ,학력무관,정규직,~09/30,원화,원화;모델링,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2025\5\GJ_CoLogo_47616029.png?638999364520000000,최문영,2025년,THRONE AND LIBERTY,
284507,라이브 프로젝트 배경 에셋 제작 아티스트 (신입),㈜데브즈유나이티드게임즈,37993507,신입,,정규직,~11/01,인터페이스 디자인,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\6\GJ_CoLogo_37993507.jpeg?639239399730000000,최민경,2016년,Real VR Fishing,
284501,[프리스타일] GUI 디자이너 채용 (경력),조이시티,45016144,경력2년↑ ,학력무관,정규직,~09/30,인터페이스 디자인,인터페이스 디자인,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\8\GJ_CoLogo_45016144.png?638792072310000000,조성원,1994년,"프리스타일 시리즈, 건쉽배틀:토탈워페어, 캐리비안의 해적, 오션 앤 엠파이어",
284498,[호라이즌 워커] 모바일 게임 일본어 로컬라이제이션 담당자 모집,㈜젠틀매니악,35256454,경력무관,학력무관,계약직,채용시,게임운영,게임운영,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2021\8\GJ_CoLogo_35256454.png?639235316660000000,"이태웅, 복규동",2021년,"호라이즌 워커, 마대자",
284506,라이브 프로젝트 모델러 모집 (경력 5-7년차),㈜데브즈유나이티드게임즈,37993507,경력5년↑ ,,정규직,~11/01,모델링,모델링;애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\6\GJ_CoLogo_37993507.jpeg?639239399730000000,최민경,2016년,Real VR Fishing,
284503,[신규프로젝트] 신입/경력 도트 디자이너 모집,게임듀오,29576203,신입,학력무관,정규직,18시간 전,원화,원화;애니메이션,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\6\GJ_CoLogo_29576203.png?639017399630000000,"송승준, 최재원",2019년,"어나더던전, 캣히어로",
284502,[민트로켓] ’고질라 디펜스 포스 X’ UI 디자이너,민트로켓,45831580,경력3년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\11\GJ_CoLogo_45831580.png?639052144030000000,황재호,2024년,데이브 더 다이버,
284499,[민트로켓] 커뮤니티 매니저 (시니어),민트로켓,45831580,경력5년↑ ,학력무관,정규직,채용시,게임운영,게임운영;사업기획(해외);마케팅;홍보;해외영업,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\11\GJ_CoLogo_45831580.png?639052144030000000,황재호,2024년,데이브 더 다이버,
284497,[일본 IP 게임 라이브운영] 경제 밸런스 기획 채용,그렙게임즈,29208655,경력무관,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\5\GJ_CoLogo_29208655.jpg?638935364080000000,한동수,2014년,-,
284495,[제이드래곤게임즈] 신규 프로젝트 3D배경 모델링 아티스트 모집,제이드래곤게임즈,51976811,신입,학력무관,정규직,채용시,모델링,모델링,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\8\GJ_CoLogo_51976811.png?639233660530000000,이준석,2026년,-,
284491,[스텔라나이츠] UI/UX 디자이너 모집,㈜버거몬스터,51607550,경력3년↑ ,학력무관,계약직,채용시,인터페이스 디자인,인터페이스 디자인,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51607550.png?639161954740000000,최윤빈,2026년,"포트리스사가, 무명기시단",
284544,"2026년 2차 국방출판지원단 일반임기제군무원 채용(3D모델, AI데이터)",국군인쇄창,51238158,경력무관,학력무관,계약직,~09/18,게임개발(클라이언트),게임개발(클라이언트);모델링;애니메이션,,박진학,-,-,
