gi_no,title,company_name,company_id,career,education,employment_type,deadline_raw,job_function,job_categories,company_logo_url,company_ceo,company_founded_year,company_flagship_games,company_homepage
284456,[넷마블넥서스] ’세븐나이츠리버스’ 경제 밸런스 기획자 채용,넷마블넥서스,33563803,경력2년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);게임기획,,,,,
283302,[프로젝트 I] 모바일 게임 이펙터,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,이펙트·FX,이펙트·FX,,,,,
284356,[스타픽시스튜디오] Full-stack 엔지니어,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,플랫폼 개발,플랫폼 개발;서버;네트워크,,,,,
284357,[스타픽시스튜디오] 게임 기획자,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획,,,,,
284358,[스타픽시스튜디오] 게임 플레이 프로그래머,스타픽시스튜디오,51773905,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크,,,,,
284359,[스타픽시스튜디오] 게임 사업PM,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,사업기획(국내),사업기획(국내);사업기획(해외);전략기획;사업관리,,,,,
284362,[스타픽시스튜디오] 게임 아티스트,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;애니메이션;이펙트·FX,,,,,
284363,[스타픽시스튜디오] 게임 기획 Lead,스타픽시스튜디오,51773905,경력5년↑ ,학력무관,정규직,채용시,게임기획,게임기획,,,,,
284364,[스타픽시스튜디오] 커뮤니티 매니저 (콘텐츠·영상),스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,마케팅,마케팅;홍보;해외 마케팅;프로모션;광고기획,,,,,
284365,[스타픽시스튜디오] 경영지원 (총무),스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,총무,총무;구매,,,,,
283375,콘텐츠 플랫폼 UI/UX 디자이너(7년 이상),슈퍼센트,36674893,경력7년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;모델링,,,,,
282346,[웹젠] 해외변호사(영미)(신입/경력),(주)웹젠,11525476,신입,학력무관,정규직,채용시,법무,법무,,,,,
284086,[크로노스튜디오] 애니메이터 모집 (계약직),㈜크로노스튜디오,43834799,경력무관,학력무관,계약직,채용시,애니메이션,애니메이션,,,,,
283726,[NC][계약직][AION2] 캐릭터 모델러 모집,NC,11525247,경력2년↑ ,학력무관,계약직,~09/07,원화,원화;모델링;애니메이션,,,,,
283873,[제우스] (계약직) 주니어 3D 배경 모델러,㈜에이버튼,43885377,경력무관,학력무관,계약직,채용시,원화,원화;모델링,,,,,
283463,[넷마블넥서스] ’세븐나이츠리버스’ 전투 기획자 채용,넷마블넥서스,33563803,경력2년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);게임기획,,,,,
283557,[시프트업] 스텔라 블레이드 차기작 / 캐릭터 컨셉 아티스트,㈜시프트업,15704099,경력5년↑ ,학력무관,정규직,채용시,원화,원화,,,,,
282626,[NC][단기계약직][리니지2M] 3D 캐릭터 아티스트 모집,NC,11525247,신입,학력무관,계약직,~09/11,원화,원화;모델링;애니메이션,,,,,
281869,[시프트업] 스텔라 블레이드 차기작 / 라이팅 아티스트,㈜시프트업,15704099,경력1년↑ ,학력무관,정규직,채용시,모델링,모델링;이펙트·FX,,,,,
281680,[LoreVault][Woochi the Wayfarer] 배경 컨셉 아티스트,㈜넥슨게임즈,13488254,경력3년↑ ,학력무관,정규직,채용시,원화,원화,,,,,
281643,[LoreVault][Woochi the Wayfarer] 리거,㈜넥슨게임즈,13488254,경력3년↑ ,학력무관,정규직,채용시,모델링,모델링;애니메이션,,,,,
281183,[던전앤파이터 아라드] 인게임 애니메이터,㈜넥슨게임즈,13488254,경력3년↑ ,학력무관,정규직,채용시,애니메이션,애니메이션,,,,,
284457,"[블루피쉬스튜디오] 3D 배경, 쿼터뷰 개발 경험 (경력사원) 모집",㈜플레이위드코리아,11525795,경력10년↑ ,학력무관,정규직,~10/01,모델링,모델링,,,,,
283789,[재택] AI 주도 1인 개발자,하이킥,20354474,경력무관,학력무관,계약직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);게임기획,,,,,
283440,[재택] AI 2D 아티스트,하이킥,20354474,경력무관,학력무관,아르바이트,채용시,인터페이스 디자인,인터페이스 디자인;원화;애니메이션,,,,,
283043,[재택] AI 마케팅 올라운더,하이킥,20354474,경력무관,학력무관,계약직,채용시,게임기획,게임기획;게임운영;마케팅;홍보,,,,,
282643,3D 아티스트 모집,트리디엇츠,51779643,경력무관,학력무관,정규직,~09/13,모델링,모델링;애니메이션,,,,,
283547,[그라비티네오싸이언] 신규 MMORPG 전 분야 추가 모집(기획),㈜그라비티 네오싸이언,11528682,경력3년↑ ,학력무관,정규직,채용시,게임기획,게임기획,,,,,
284076,[민트로켓] ’고질라 디펜스 포스 X’ 클라이언트 프로그래머,민트로켓,45831580,경력5년↑ ,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일),,,,,
283945,[이터널 리턴] 콘텐츠 QA 담당자 모집,㈜님블뉴런,13425350,경력무관,학력무관,정규직,채용시,QA·테스터,QA·테스터,,,,,
283828,[민트로켓] ’고질라 디펜스 포스 X’ 서버 프로그래머,민트로켓,45831580,경력5년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);서버,,,,,
283872,[모드하우스] 게임 Asset & UI/UX 디자이너 채용,㈜모드하우스,52079836,경력1년↑ ,학력무관,계약직,~10/14,인터페이스 디자인,인터페이스 디자인,,,,,
282668,"[그라비티네오싸이언] 신규 MMORPG 전 분야 추가 모집(클라, 서버)",㈜그라비티 네오싸이언,11528682,경력3년↑ ,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);서버,,,,,
280933,[PC/Console] 2D Spine 애니메이터 모집,얼라이브,34482342,경력무관,학력무관,정규직,채용시,애니메이션,애니메이션,,,,,
280932,[PC/Console] 배경원화 모집,얼라이브,34482342,경력무관,학력무관,정규직,채용시,원화,원화,,,,,
282188,[코그] DBA,코그,11526067,경력무관,학력무관,정규직,채용시,시스템·DB,시스템·DB,,,,,
282664,"[그라비티네오싸이언] 신규 MMORPG 전 분야 추가 모집(TA, 3D 전 분야)",㈜그라비티 네오싸이언,11528682,경력3년↑ ,학력무관,정규직,채용시,모델링,모델링;애니메이션,,,,,
282667,[그라비티네오싸이언] 신규 MMORPG 전 분야 추가 모집(이펙터),㈜그라비티 네오싸이언,11528682,경력3년↑ ,학력무관,정규직,채용시,이펙트·FX,이펙트·FX,,,,,
282665,"[그라비티네오싸이언] 신규 MMORPG 전 분야 추가 모집(AD, 원화)",㈜그라비티 네오싸이언,11528682,경력3년↑ ,학력무관,정규직,채용시,원화,원화,,,,,
